Hersteller_name;Hersteller_typ_typ;Hersteller_typ_A2;Hersteller_typ_A7;Hersteller_typ_ErP;Hersteller_typ_Tag;Hersteller_typ_Nacht
TCA Thermoclima AG;TCA optimaHeat Compact Silent Source, HM-S18L-M-CC / HM-AFHYDRO03;21.2;19.1;51;58;58
TCA Thermoclima AG;TCA optimaHeat Split Silent Source Solid, HM-S30L-M-SOLID / HM-HPS240;38.67;34;48;54;54
TCA Thermoclima AG;TCA optimaHeat Split Silent Source Solid, HM-S40L-M-SOLID / HM-HPS240;44.86;39.44;48;54;54
TCA Thermoclima AG;TCA optimaHeat Split Silent Source Solid, HM-S55L-M-SOLID / HM-HPS300;49.1;43.4;48;58;58
TCA Thermoclima AG;TCA optimaHeat Split Silent Source, HM-HP08L-M-BC / HM-HPS60;11.49;8.96;40;42;42
TCA Thermoclima AG;TCA optimaHeat Split Silent Source, HM-HP08L-M-BC / HM-HPS60-W;11.49;8.96;41;43;43
TCA Thermoclima AG;TCA optimaHeat Split Silent Source, HM-HP12L-M-BC / HM-HPS80;16.55;12.88;40;42;42
TCA Thermoclima AG;TCA optimaHeat Split Silent Source, HM-HP12L-M-BC / HM-HPS80-W;16.55;12.88;41;43;43
TCA Thermoclima AG;TCA optimaHeat Split Silent Source, HM-HP20L-M-BC / HM-HPS120;20.93;16.72;46;48;48
Vaillant GmbH;aroTHERM split VWL 105/5 AS;8.3;10.2;60;60;55
Vaillant GmbH;aroTHERM split VWL 125/5 AS;8.3;11.9;60;60;55
Vaillant GmbH;aroTHERM split VWL 35/5 AS;2.5;3.6;53;53;46
Vaillant GmbH;aroTHERM split VWL 55/5 AS;3.4;4.9;54;54;46
Vaillant GmbH;aroTHERM split VWL 75/5 AS;4.6;6.7;54;54;48
Vaillant GmbH;aroTHERM VWL 115/2;5.1;7.9;66;66;63
Vaillant GmbH;aroTHERM VWL 155/2;8.2;11.8;66;66;63
Vaillant GmbH;aroTHERM VWL 55/3;2.8;4.9;58;58;55
Vaillant GmbH;aroTHERM VWL 85/3;4.5;6.6;60;60;57
Vaillant GmbH;Erset Mistral C 11;11;11;58;58;58
Vaillant GmbH;Erset Mistral C 14;14.1;14.1;58;58;58
Vaillant GmbH;Erset Mistral C 18;18.1;18.1;60;60;60
Vaillant GmbH;Erset Mistral C 7;7.1;7.1;56;56;56
Vaillant GmbH;flexoTHERM VWF 117/4 mit 1 aroCOLLECT;10.3;8.4;56;67;52
Vaillant GmbH;flexoTHERM VWF 157/4 mit 2 aroCOLLECT;13.9;11.2;50;62;48
Vaillant GmbH;flexoTHERM VWF 197/4 mit 2 aroCOLLECT;17.4;14.6;53;67;53
Vaillant GmbH;flexoTHERM VWF 57/4 mit 1 aroCOLLECT;5.7;4.4;43;54;40
Vaillant GmbH;flexoTHERM VWF 87/4 mit 1 aroCOLLECT;7.8;6.5;51;61;47
Vaillant GmbH;versoTHERM plus VWL 57/5;3.18;5.65;51.6;57.1;52.5
Vaillant GmbH;versoTHERM plus VWL 77/5;4.1;7.2;47.7;59.2;51.4
Viessmann (Schweiz) AG;Viessmann, Vitocal 200-A AWCI-AC 201.A07;4.98;7.49;55;59;55
Viessmann (Schweiz) AG;Viessmann, Vitocal 200-A AWCI-AC 201.A10;7;10.12;56;59;56
Viessmann (Schweiz) AG;Viessmann, Vitocal 200-A AWO--M-E-AC 201.A04;2.6;3.8;53;56;50
Viessmann (Schweiz) AG;Viessmann, Vitocal 200-A AWO--M-E-AC 201.A06;3.1;5.7;54;56;50
Viessmann (Schweiz) AG;Viessmann, Vitocal 200-A AWO--M-E-AC 201.A08;4;6.7;55;58;50
Viessmann (Schweiz) AG;Viessmann, Vitocal 200-A AWO-E-AC 201.A10;6.1;10.1;56;61;55
Viessmann (Schweiz) AG;Viessmann, Vitocal 200-A AWO-E-AC 201.A13;6.7;11.1;56;61;55
Viessmann (Schweiz) AG;Viessmann, Vitocal 200-A AWO-E-AC 201.A16;7;11.6;56;61;55
Viessmann (Schweiz) AG;Viessmann, Vitocal 200-S AWB--M-E-AC 201.D04;2.6;3.8;53;56;50
Viessmann (Schweiz) AG;Viessmann, Vitocal 200-S AWB--M-E-AC 201.D06;3.1;5.5;54;56;50
Viessmann (Schweiz) AG;Viessmann, Vitocal 200-S AWB--M-E-AC 201.D08;4;6.7;55;58;50
Viessmann (Schweiz) AG;Viessmann, Vitocal 200-S AWB-E-AC 201.D10;5.9;10.1;56;61;55
Viessmann (Schweiz) AG;Viessmann, Vitocal 200-S AWB-E-AC 201.D13;6.3;10.7;56;61;55
Viessmann (Schweiz) AG;Viessmann, Vitocal 200-S AWB-E-AC 201.D16;7;11.6;56;61;55
Viessmann (Schweiz) AG;Viessmann, Vitocal 250-S HAWB-M-AC 252.A04;3;3.2;60;60;58
Viessmann (Schweiz) AG;Viessmann, Vitocal 250-S HAWB-M-AC 252.A07;5.6;6.6;62;62;58
Viessmann (Schweiz) AG;Viessmann, Vitocal 250-S HAWB-M-AC 252.A10;7.5;9.5;61;61;60
Viessmann (Schweiz) AG;Viessmann, Vitocal 250-S HAWB-M-AC 252.A13;9.06;10.7;65;66;60
Viessmann (Schweiz) AG;Viessmann, Vitocal 250-S HAWB-M-AC 252.A16;11.3;13.3;65;69;60
Viessmann (Schweiz) AG;Viessmann, Vitocal 300-A AWO 302.A25;19.6;16.7;67;67;67
Viessmann (Schweiz) AG;Viessmann, Vitocal 300-A AWO 302.A40;29.3;23.8;70;70;70
Viessmann (Schweiz) AG;Viessmann, Vitocal 300-A AWO 302.A60;50;39.2;74;74;74
Viessmann (Schweiz) AG;Viessmann, Vitocal 300-A AWO-AC 301.B07;7.4;7;51;53;49
Viessmann (Schweiz) AG;Viessmann, Vitocal 300-A AWO-AC 301.B11;7;10.5;51;53;51
Viessmann (Schweiz) AG;Viessmann, Vitocal 300-A AWO-AC 301.B14;8.5;12;52;54;52
Viessmann (Schweiz) AG;Viessmann, Vitocal 350-A AWHI 351.A10;10.6;8.7;50;50;46
Viessmann (Schweiz) AG;Viessmann, Vitocal 350-A AWHI 351.A14;14.5;12.2;54;54;49
Viessmann (Schweiz) AG;Viessmann, Vitocal 350-A AWHI 351.A20;18.5;15;57;57;55
Viessmann (Schweiz) AG;Viessmann, Vitocal 350-A AWHO 351.A10;10.6;8.7;57;57;55
Viessmann (Schweiz) AG;Viessmann, Vitocal 350-A AWHO 351.A14;14.5;12.2;60;60;57
Viessmann (Schweiz) AG;Viessmann, Vitocal 350-A AWHO 351.A20;18.5;15;64;64;62
Weishaupt AG;Weishaupt AG, WWP L 12 AD;9.5;7.3;54;54;53
Weishaupt AG;Weishaupt AG, WWP L 12 ADR;9.5;7.2;54;54;53
Weishaupt AG;Weishaupt AG, WWP L 12 ID;9.44;7.1;50;50;50
Weishaupt AG;Weishaupt AG, WWP L 12 IDK;9.4;7.1;50;50;47
Weishaupt AG;Weishaupt AG, WWP L 16 I-2;13.37;10.7;54;54;54
Weishaupt AG;Weishaupt AG, WWP L 18 AD;12;10.6;54;54;53
Weishaupt AG;Weishaupt AG, WWP L 18 ADR;12;10.6;54;54;53
Weishaupt AG;Weishaupt AG, WWP L 20 I-2;14.7;12.8;57;57;57
Weishaupt AG;Weishaupt AG, WWP L 24 I-2;19.9;15.7;61;61;61
Weishaupt AG;Weishaupt AG, WWP L 25 A;19.6;16.7;67;67;64
Weishaupt AG;Weishaupt AG, WWP L 28 I-2;25.19;21.6;61;61;61
Weishaupt AG;Weishaupt AG, WWP L 35 AR;23.6;17.8;70;72;69
Weishaupt AG;Weishaupt AG, WWP L 40 A;29.3;23.8;70;70;67
Weishaupt AG;Weishaupt AG, WWP L 60 AD;50.32;39.2;71;74;71
Weishaupt AG;Weishaupt AG, WWP L 60 ADR;50.32;39.2;71;74;71
Weishaupt AG;Weishaupt AG, WWP L 8 IK-2;6.6;5.3;53;53;53
Weishaupt AG;Weishaupt AG, WWP L 9 AD;7.2;5.5;53;53;53
Weishaupt AG;Weishaupt AG, WWP L 9 ADR;7.2;5.5;53;53;53
Weishaupt AG;Weishaupt AG, WWP L 9 ID;6.84;5.4;49;49;49
Weishaupt AG;Weishaupt AG, WWP LA 6-A;5.1;4;56;56;52
Weishaupt AG;Weishaupt AG, WWP LA 6-A R;5.1;4;56;56;52
Weishaupt AG;Weishaupt AG, WWP LB 12-A-R;10.7;7.79;4.93;45;45
Weishaupt AG;Weishaupt AG, WWP LS 10-B-R;7.6;9.57;61;61;60
Weishaupt AG;Weishaupt AG, WWP LS 10-B-R-E;7.7;9;62;62;60
Weishaupt AG;Weishaupt AG, WWP LS 13-B-R;8.8;11.7;65;65;60
Weishaupt AG;Weishaupt AG, WWP LS 16-B-R;10.89;13.3;65;65;60
Weishaupt AG;Weishaupt AG, WWP LS 8-B-R-E;5.46;6.6;60;60;58
